position,company,City,State
Data Scientist,Xpert Staffing,ATLANTA,GA
Data Analyst,Operation HOPE,ATLANTA,GA
Data Scientist,Cotiviti,ATLANTA,GA
Data Scientist,Relus Cloud,ATLANTA,GA
Data Scientist,Inspire Brands,ATLANTA,GA
Data Scientist,Norfolk Southern Corp,ATLANTA,GA
Data Scientist,AirSage,ATLANTA,GA
Senior Data Scientist,Catalina Marketing,ATLANTA,GA
Data Scientist,SalesLoft,ATLANTA,GA
Data Scientist,McKesson,ATLANTA,GA
Data Scientist,The Intersect Group,ATLANTA,GA
Data Scientist,OM Partners,ATLANTA,GA
Senior Data Scientist,Cotiviti,ATLANTA,GA
Lead Data Scientist,Norfolk Southern Corp,ATLANTA,GA
Senior Data Scientist,Norfolk Southern Corp,ATLANTA,GA
Data Engineer,Gallup,ATLANTA,GA
Research Scientist,MacDermid Inc.,ATLANTA,GA
Research Analyst,Evident,ATLANTA,GA
Research Scientist,PreVisor,ATLANTA,GA
Research Analyst,"Epiq Systems, Inc.",ATLANTA,GA
Market Research Analyst,SKIM,ATLANTA,GA
Market Research Analyst,ResMed,ATLANTA,GA
Senior Data Scientist,Smith Hanley Associates,ATLANTA,GA
Data Scientist,"Xpect SVC, LLC",ATLANTA,GA
Scientist,R&D Partners,ATLANTA,GA
Data Scientist,Matrix Resources,ATLANTA,GA
Senior Software Engineer,Feedzai,ATLANTA,GA
Data Scientist,"Elavon, Inc.",ATLANTA,GA
Data Scientist,Cardinal Solutions,ATLANTA,GA
Data Scientist,Operation HOPE,ATLANTA,GA
Data Scientist,The Coca-Cola Company,ATLANTA,GA
Data Scientist,U.S. Bank,ATLANTA,GA
Data Scientist,Catalina Marketing,ATLANTA,GA
Research Analyst,"Happy Faces Personnel Group, Inc.",ATLANTA,GA
Bioinformatics Scientist,Premierehire,AUSTIN,TX
Lead Data Scientist,Clockwork Solutions,AUSTIN,TX
Principal Data Scientist,Prestige Staffing,AUSTIN,TX
Data Analyst,Applied Systems Inc.,AUSTIN,TX
Senior Data Scientist,HireStarter,AUSTIN,TX
Senior Data Scientist,"RetailMeNot, Inc.",AUSTIN,TX
Data Scientist,IBM,AUSTIN,TX
Principal Data Scientist,Clockwork Solutions,AUSTIN,TX
Machine Learning Engineer,Keller Williams,AUSTIN,TX
Senior Research Analyst,Wholefoods,AUSTIN,TX
Senior Research Analyst,IHS Markit,AUSTIN,TX
Senior Data Scientist,Valkyrie Intelligence,AUSTIN,TX
Data Scientist,"ScaleFactor, Inc.",AUSTIN,TX
Senior Data Scientist,SPK Consultants Inc,AUSTIN,TX
Senior Software Engineer,Clockwork Solutions,AUSTIN,TX
Senior Software Engineer,BlackLocus,AUSTIN,TX
Data Scientist,Atlas Wearables,AUSTIN,TX
Data Scientist,KEYW Corporation,AUSTIN,TX
Data Scientist,Applied Systems Inc.,AUSTIN,TX
Data Scientist,SHI International Corp.,AUSTIN,TX
Data Scientist,BlackLocus,AUSTIN,TX
Senior Data Scientist,Recurly,BOULDER,CO
Data Scientist,Splunk,BOULDER,CO
Data Scientist,Gaia International Inc.,BOULDER,CO
Data Scientist,CA Technologies,BOULDER,CO
Data Scientist,Trimble Inc.,BOULDER,CO
Associate Scientist,"Miragen Therapeutics, Inc.",BOULDER,CO
Data Engineer,Partners HealthCare(PHS),BOSTON,MA
Senior Data Scientist,MARC USA LLC,BOSTON,MA
Senior Data Scientist,Tessella,BOSTON,MA
Lead Data Scientist,Bose,BOSTON,MA
Research Analyst,MFS Investment Management,BOSTON,MA
Data Scientist,Thomson Reuters,BOSTON,MA
Senior Data Scientist,Darwin Recruitment,BOSTON,MA
Research Analyst,Harvard Pilgrim Health Care,BOSTON,MA
Data Engineer,Cervello Inc,BOSTON,MA
Senior Data Scientist,Workbridge Associates,BOSTON,MA
Data Engineer,Vertex Pharmaceuticals,BOSTON,MA
Data Engineer,Vertex,BOSTON,MA
Machine Learning Engineer,Pluralsight,BOSTON,MA
Machine Learning Engineer,Klaviyo,BOSTON,MA
Data Engineer,Manulife Financial,BOSTON,MA
Machine Learning Engineer,Soroco,BOSTON,MA
Senior Data Scientist,"Lynx, Inc.",BOSTON,MA
Machine Learning Engineer,Spotify,BOSTON,MA
Machine Learning Engineer,Data+Math,BOSTON,MA
Data Engineer,Manulife,BOSTON,MA
Data Engineer,John Hancock,BOSTON,MA
Market Research Analyst,"Jenzabar, Inc",BOSTON,MA
Machine Learning Engineer,Burst Inc.,BOSTON,MA
Machine Learning Engineer,Twitter,BOSTON,MA
Associate Scientist,Cugene Inc,BOSTON,MA
Research Scientist,Vertex,BOSTON,MA
